date,close
2025-07-01,1085.0
2025-07-02,1085.0
2025-07-03,1090.0
2025-07-04,1085.0
2025-07-07,1080.0
2025-07-08,1080.0
2025-07-09,1090.0
2025-07-10,1100.0
2025-07-11,1100.0
2025-07-14,1095.0
2025-07-15,1110.0
2025-07-16,1130.0
2025-07-17,1130.0
2025-07-18,1155.0
2025-07-21,1150.0
2025-07-22,1130.0
2025-07-23,1145.0
2025-07-24,1145.0
2025-07-25,1145.0
2025-07-28,1145.0
2025-07-29,1135.0
2025-07-30,1155.0
2025-07-31,1160.0
2025-08-01,1140.0
2025-08-04,1135.0
2025-08-05,1150.0
2025-08-06,1125.0
2025-08-07,1180.0
2025-08-08,1175.0
2025-08-11,1180.0
2025-08-12,1180.0
